playerId,playerName,club,teamName,selectionId,selectionTeam,category,status,sourceId
hk-nl-m-kampong-finn-van-bijnen,Finn van Bijnen,Kampong,Kampong H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-pinoke-pepijn-van-der-valk,Pepijn van der Valk,Pinoké,Pinoké H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-f-amsterdam-trijntje-beljaars,Trijntje Beljaars,Amsterdam,Amsterdam D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-bloemendaal-phileine-hazen,Phileine Hazen,Bloemendaal,Bloemendaal D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-schc-maud-van-den-heuvel,Maud van den Heuvel,SCHC,SCHC D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-kampong-veere-ter-horst,Veere ter Horst,Kampong,Kampong D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-kampong-eline-jansen,Eline Jansen,Kampong,Kampong D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-kampong-iris-de-kemp,Iris de Kemp,Kampong,Kampong D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-pinoke-sam-luttmer,Sam Luttmer,Pinoké,Pinoké D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-kampong-guusje-moes,Guusje Moes,Kampong,Kampong D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-amsterdam-noa-muller,Noa Muller,Amsterdam,Amsterdam D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
hk-nl-f-kampong-noor-van-den-nieuwenhof,Noor van den Nieuwenhof,Kampong,Kampong D1,jong_oranje_dames_wk21_2025,Jong Oranje Dames WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_dames_wk21_2025
